pincode_input,scraped_at,status
110001,2026-01-18T15:33:05.595424,Location Set Only (No URLs)
400001,2026-01-18T15:33:11.594832,Location Set Only (No URLs)
411001,2026-01-18T15:33:19.347341,Location Set Only (No URLs)
500001,2026-01-18T15:33:22.888660,Location Set Only (No URLs)
560001,2026-01-18T15:34:15.672347,Location Set Only (No URLs)
600001,2026-01-18T15:34:27.448361,Location Set Only (No URLs)
700001,2026-01-18T15:34:31.588956,Location Set Only (No URLs)
800001,2026-01-18T15:34:57.241656,Location Set Only (No URLs)
