platform,category,subcategory,clicked_label,name,brand,base_product_id,product_id,group_id,merchant_type,mrp,price,weight,shelf_life_in_hours,eta,availability,inventory,store_id,product_url,image_url,scraped_at,pincode_input
blinkit,Milk,N/A,Milk,Nandini Slim Skimmed Milk,Nandini,115774,115774,143344,express,71.0,71.0,1 l,,20 minutes,In Stock,20,33966,https://blinkit.com/prn/nandini-slim-skimmed-milk/prid/115774,https://cdn.grofers.com/da/cms-assets/cms/product/d3d0fe26-4539-4ee2-9e4c-d2385a18bcd8.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Sids Farm Buffalo A2 Milk,Sids Farm,518553,518553,2057140,express,60.0,59.0,500 ml,,20 minutes,In Stock,1,33966,https://blinkit.com/prn/sids-farm-buffalo-a2-milk/prid/518553,https://cdn.grofers.com/da/cms-assets/cms/product/bf90b1c5-6e6f-49ab-b37c-8761c08bc69f.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Yakult Light Probiotic Drink,Yakult,382243,382243,1922646,express,100.0,100.0,5 x 65 ml,,20 minutes,In Stock,7,33966,https://blinkit.com/prn/yakult-light-probiotic-drink/prid/382243,https://cdn.grofers.com/da/cms-assets/cms/product/037a916d-cc8a-4cb0-bb62-a1685cc101b8.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Nestle a+ Slim Skimmed Milk,Nestle a+,74690,74690,1285872,express,97.0,87.0,1 l,,20 minutes,In Stock,25,33966,https://blinkit.com/prn/nestle-a+-slim-skimmed-milk/prid/74690,https://cdn.grofers.com/da/cms-assets/cms/product/7a38fdbb-e610-4359-a2fa-9f36ab8fdc48.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Akshayakalpa Organic Cow Milk,Akshayakalpa Organic,572383,572383,1318108,express,126.0,126.0,1 l,,20 minutes,In Stock,15,33966,https://blinkit.com/prn/akshayakalpa-organic-cow-milk/prid/572383,https://cdn.grofers.com/da/cms-assets/cms/product/5d2819ab-0330-49b1-b1c0-fab406893590.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Yakult Light Mango Probiotic Fermented Milk Drink,Yakult,560720,560720,1045984,express,100.0,100.0,5 x 65 ml,,20 minutes,In Stock,5,33966,https://blinkit.com/prn/yakult-light-mango-probiotic-fermented-milk-drink/prid/560720,https://cdn.grofers.com/da/cms-assets/cms/product/b6319b98-d909-4ab7-880b-26bd10882d88.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Mother Dairy FIT Life Homogenized Double Toned Milk (450 ml),Mother Dairy,207766,207766,1286378,express,32.0,32.0,450 ml,,20 minutes,In Stock,3,33966,https://blinkit.com/prn/mother-dairy-fit-life-homogenized-double-toned-milk-(450-ml)/prid/207766,https://cdn.grofers.com/da/cms-assets/cms/product/af0e692b-af5a-464f-8766-59ce4b4ad95c.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Mother Dairy Toned Milk,Mother Dairy,32685,32685,143334,express,75.0,75.0,1 l,,20 minutes,In Stock,1,33966,https://blinkit.com/prn/mother-dairy-toned-milk/prid/32685,https://cdn.grofers.com/da/cms-assets/cms/product/dab55302-9f72-4479-bd04-a72e1dd4613e.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Akshayakalpa Organic Slim Milk,Akshayakalpa Organic,572385,572385,1318113,express,136.0,136.0,1 l,,20 minutes,In Stock,3,33966,https://blinkit.com/prn/akshayakalpa-organic-slim-milk/prid/572385,https://cdn.grofers.com/da/cms-assets/cms/product/2cdc89f1-b904-4c96-adc6-fa5f784e0727.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Milky Mist Toned Milk,Milky Mist,516948,516948,1316062,express,77.0,77.0,1 l,,20 minutes,In Stock,1,33966,https://blinkit.com/prn/milky-mist-toned-milk/prid/516948,https://cdn.grofers.com/da/cms-assets/cms/product/ab513999-1e94-49a8-8777-564b18e9ef95.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Milky Mist Double Toned Milk,Milky Mist,516949,516949,1316064,express,72.0,72.0,1 l,,20 minutes,In Stock,5,33966,https://blinkit.com/prn/milky-mist-double-toned-milk/prid/516949,https://cdn.grofers.com/da/cms-assets/cms/product/b0b752d9-1655-435d-a639-30ac37401f03.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Milky Mist UHT Sterilized Lactose Free Toned Milk,Milky Mist,516951,516951,1401562,express,29.0,29.0,250 ml,,20 minutes,In Stock,23,33966,https://blinkit.com/prn/milky-mist-uht-sterilized-lactose-free-toned-milk/prid/516951,https://cdn.grofers.com/da/cms-assets/cms/product/c5e6481f-b189-48b8-86a0-7be0e8331df6.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Akshayakalpa Organic Cow A2 Milk (Pasteurized),Akshayakalpa Organic,542051,542051,2080577,express,45.0,45.0,500 ml,,20 minutes,In Stock,1,33966,https://blinkit.com/prn/akshayakalpa-organic-cow-a2-milk-(pasteurized)/prid/542051,https://cdn.grofers.com/da/cms-assets/cms/product/ddd0b9c3-6b4f-4348-8452-f886c681482d.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Akshayakalpa Organic Farm Fresh Milk,Akshayakalpa Organic,478882,478882,523688,express,47.0,47.0,500 ml,,20 minutes,In Stock,1,33966,https://blinkit.com/prn/akshayakalpa-organic-farm-fresh-milk/prid/478882,https://cdn.grofers.com/da/cms-assets/cms/product/bdfd9c9f-97f8-496a-ae84-98cf2ab26473.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Amul Calci+ Milk,Amul,547189,547189,2108153,express,25.0,24.0,250 ml,,20 minutes,In Stock,7,33966,https://blinkit.com/prn/amul-calci+-milk/prid/547189,https://cdn.grofers.com/da/cms-assets/cms/product/f595053a-a7ee-44a9-afce-76ac773e52b0.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Amul Calci+ Milk,Amul,547190,547190,2108153,express,95.0,95.0,1 l,,20 minutes,In Stock,1,33966,https://blinkit.com/prn/amul-calci+-milk/prid/547190,https://cdn.grofers.com/da/cms-assets/cms/product/10be8278-544a-4c72-b2b4-f8b94ed4a2da.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Amul Cow Milk,Amul,547184,547184,2108884,express,76.0,76.0,1 l,,20 minutes,In Stock,3,33966,https://blinkit.com/prn/amul-cow-milk/prid/547184,https://cdn.grofers.com/da/cms-assets/cms/product/5799b89d-2123-4746-b6e7-916722c37aec.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Amul Gold Premium Full Cream Milk,Amul,641570,641570,1957510,express,90.0,71.0,1 l,,20 minutes,In Stock,6,33966,https://blinkit.com/prn/amul-gold-premium-full-cream-milk/prid/641570,https://cdn.grofers.com/da/cms-assets/cms/product/0f27bcc6-5824-4f99-80df-e1bf3a61d02e.png,2026-01-18 14:26:48,560001
blinkit,Milk,N/A,Milk,Amul Moti Toned Milk (90 Days Shelf Life),Amul,34778,34778,1910213,express,29.0,27.0,450 ml,,20 minutes,In Stock,44,33966,https://blinkit.com/prn/amul-moti-toned-milk-(90-days-shelf-life)/prid/34778,https://cdn.grofers.com/da/cms-assets/cms/product/eb2ba2ce-96fd-43cb-acc0-2a04ff6b810d.png,2026-01-18 14:26:48,560001
