pincode_input,scraped_at,status
110001,2026-01-18T15:26:47.616076,Location Set Success
400001,2026-01-18T15:26:53.419877,Location Set Success
411001,2026-01-18T15:27:02.541400,Location Set Success
500001,2026-01-18T15:27:17.826795,Location Set Success
560001,2026-01-18T15:27:39.285086,Location Set Success
600001,2026-01-18T15:27:50.384322,Location Set Success
700001,2026-01-18T15:28:11.438922,Location Set Success
800001,2026-01-18T15:28:28.505641,Location Set Success
