Pincode,Status,Categories_Scraped,Products_Found,Start_Time,End_Time,Duration_Seconds,Error_Message
110044,Success,55,42,2026-01-19T23:10:33.506878,2026-01-19T23:13:15.940828,162.43395,
110017,Success,55,48,2026-01-19T23:10:20.719684,2026-01-19T23:13:18.296255,177.576571,
110001,Success,55,48,2026-01-19T23:10:17.704235,2026-01-19T23:13:18.840928,181.136693,
110020,Success,55,42,2026-01-19T23:10:24.914106,2026-01-19T23:13:20.654094,175.739988,
110048,Success,0,0,2026-01-19T23:13:22.300043,2026-01-19T23:13:36.201256,13.901213,
110052,Success,0,0,2026-01-19T23:13:25.814058,2026-01-19T23:13:38.794262,12.980204,
110067,Success,0,0,2026-01-19T23:13:26.497355,2026-01-19T23:13:39.380540,12.883185,
110070,Success,0,0,2026-01-19T23:13:28.296761,2026-01-19T23:13:41.917043,13.620282,
110075,Success,0,0,2026-01-19T23:13:45.662157,2026-01-19T23:13:59.321804,13.659647,
110085,Success,0,0,2026-01-19T23:13:46.710595,2026-01-19T23:14:00.335607,13.625012,
110091,Success,0,0,2026-01-19T23:13:47.068802,2026-01-19T23:14:00.605945,13.537143,
121002,Success,55,42,2026-01-19T23:14:06.395485,2026-01-19T23:17:04.910251,178.514766,
110092,Success,55,48,2026-01-19T23:13:51.129336,2026-01-19T23:17:06.536301,195.406965,
121001,Success,55,42,2026-01-19T23:14:05.848513,2026-01-19T23:17:07.913852,182.065339,
122001,Success,55,42,2026-01-19T23:14:07.571636,2026-01-19T23:17:22.425579,194.853943,
122002,Success,0,0,2026-01-19T23:17:11.320172,2026-01-19T23:17:23.696535,12.376363,
122018,Success,0,0,2026-01-19T23:17:13.586553,2026-01-19T23:17:27.121130,13.534577,
201301,Success,0,0,2026-01-19T23:17:15.826000,2026-01-19T23:17:29.632740,13.80674,
201304,Success,0,0,2026-01-19T23:17:28.721992,2026-01-19T23:17:42.634196,13.912204,
400001,Success,55,60,2026-01-19T23:17:34.666694,2026-01-19T23:21:37.387100,242.720406,
400021,Success,55,60,2026-01-19T23:17:51.954951,2026-01-19T23:21:39.938839,227.983888,
201307,Success,55,66,2026-01-19T23:17:30.341849,2026-01-19T23:21:40.171814,249.829965,
400013,Success,55,66,2026-01-19T23:17:36.427194,2026-01-19T23:21:40.667575,244.240381,
400026,Success,0,0,2026-01-19T23:21:45.372171,2026-01-19T23:21:57.736550,12.364379,
400050,Success,0,0,2026-01-19T23:21:45.934236,2026-01-19T23:21:58.709835,12.775599,
400053,Success,0,0,2026-01-19T23:21:46.644287,2026-01-19T23:21:59.054129,12.409842,
400058,Success,0,0,2026-01-19T23:21:47.997638,2026-01-19T23:22:00.481946,12.484308,
400064,Success,0,0,2026-01-19T23:22:04.340220,2026-01-19T23:22:16.627238,12.287018,
400071,Success,0,0,2026-01-19T23:22:05.464223,2026-01-19T23:22:17.886359,12.422136,
400076,Success,0,0,2026-01-19T23:22:06.592875,2026-01-19T23:22:19.444921,12.852046,
400092,Success,0,0,2026-01-19T23:22:08.823118,2026-01-19T23:22:21.558183,12.735065,
400097,Success,0,0,2026-01-19T23:22:24.047677,2026-01-19T23:22:36.588674,12.540997,
400101,Success,0,0,2026-01-19T23:22:25.750622,2026-01-19T23:22:38.416129,12.665507,
400104,Success,0,0,2026-01-19T23:22:26.904769,2026-01-19T23:22:39.290124,12.385355,
400703,Success,55,30,2026-01-19T23:22:47.546515,2026-01-19T23:24:42.449137,114.902622,
400705,Success,55,36,2026-01-19T23:22:49.014542,2026-01-19T23:24:51.964504,122.949962,
400601,Success,55,48,2026-01-19T23:22:30.882551,2026-01-19T23:24:53.188392,142.305841,
400706,Success,0,0,2026-01-19T23:24:52.032098,2026-01-19T23:24:54.309722,2.277624,
400610,Success,55,36,2026-01-19T23:22:43.756240,2026-01-19T23:24:54.673506,130.917266,
421201,Success,0,0,2026-01-19T23:24:58.090599,2026-01-19T23:25:10.829856,12.739257,
