Category,Subcategory,Item Name,Brand,Mrp,Price,Weight/pack_size,Delivery ETA,availability,inventory,store_id,base_product_id,shelf_life_in_hours,timestamp,pincode_input,clicked_label
Homegrown Brands,Tea Coffee,The Ordinary Multi-peptide + Copper Peptides 1% Serum,The Ordinary,2950.0,2950.0,1 pc (30 ml),50 min,In Stock,3,0059ff6a-7eb0-477a-a7f5-69256f2c444b,7d2fed61-8439-5d32-98d5-9eb4373a3a18,36 months,2026-01-19 23:11:07,110001,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Multipeptide Hair Density Serum Mini,The Ordinary,1350.0,1350.0,1 pc (30 ml),50 min,In Stock,4,0059ff6a-7eb0-477a-a7f5-69256f2c444b,13a9f28e-a7d4-53bb-a579-8ec55ee3061f,36 months,2026-01-19 23:11:07,110001,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Glycolic Acid 7% Toning Solution,The Ordinary,1275.0,1275.0,1 pc (240 ml),50 min,In Stock,5,0059ff6a-7eb0-477a-a7f5-69256f2c444b,93c19163-89a0-58f0-acf1-1c49a945667d,36 months,2026-01-19 23:11:07,110001,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Hyaluronic Acid 2% + B5,The Ordinary,1000.0,1000.0,1 pc (30 ml),50 min,In Stock,3,0059ff6a-7eb0-477a-a7f5-69256f2c444b,b730b0fa-2525-54e9-9c56-0cdaef88265b,36 months,2026-01-19 23:11:07,110001,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary AHA 30% + BHA 2% Peeling Solution,The Ordinary,950.0,950.0,1 pc (30 ml),50 min,In Stock,6,0059ff6a-7eb0-477a-a7f5-69256f2c444b,fe711bec-8786-5fcc-a119-d96bdbcb8e36,36 months,2026-01-19 23:11:07,110001,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Squalane + Amino Acids Lip Balm,The Ordinary,950.0,950.0,1 pc (15 ml),50 min,In Stock,3,0059ff6a-7eb0-477a-a7f5-69256f2c444b,a6792843-7c06-5d70-8f8f-80d932441ec7,36 months,2026-01-19 23:11:07,110001,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Multi-peptide + Copper Peptides 1% Serum,The Ordinary,2950.0,2950.0,1 pc (30 ml),50 min,In Stock,3,0059ff6a-7eb0-477a-a7f5-69256f2c444b,7d2fed61-8439-5d32-98d5-9eb4373a3a18,36 months,2026-01-19 23:11:15,110020,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Multipeptide Hair Density Serum Mini,The Ordinary,1350.0,1350.0,1 pc (30 ml),50 min,In Stock,4,0059ff6a-7eb0-477a-a7f5-69256f2c444b,13a9f28e-a7d4-53bb-a579-8ec55ee3061f,36 months,2026-01-19 23:11:15,110020,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Glycolic Acid 7% Toning Solution,The Ordinary,1275.0,1275.0,1 pc (240 ml),50 min,In Stock,5,0059ff6a-7eb0-477a-a7f5-69256f2c444b,93c19163-89a0-58f0-acf1-1c49a945667d,36 months,2026-01-19 23:11:15,110020,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Hyaluronic Acid 2% + B5,The Ordinary,1000.0,1000.0,1 pc (30 ml),50 min,In Stock,3,0059ff6a-7eb0-477a-a7f5-69256f2c444b,b730b0fa-2525-54e9-9c56-0cdaef88265b,36 months,2026-01-19 23:11:15,110020,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary AHA 30% + BHA 2% Peeling Solution,The Ordinary,950.0,950.0,1 pc (30 ml),50 min,In Stock,6,0059ff6a-7eb0-477a-a7f5-69256f2c444b,fe711bec-8786-5fcc-a119-d96bdbcb8e36,36 months,2026-01-19 23:11:15,110020,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Squalane + Amino Acids Lip Balm,The Ordinary,950.0,950.0,1 pc (15 ml),50 min,In Stock,3,0059ff6a-7eb0-477a-a7f5-69256f2c444b,a6792843-7c06-5d70-8f8f-80d932441ec7,36 months,2026-01-19 23:11:15,110020,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Multi-peptide + Copper Peptides 1% Serum,The Ordinary,2950.0,2950.0,1 pc (30 ml),50 min,In Stock,3,0059ff6a-7eb0-477a-a7f5-69256f2c444b,7d2fed61-8439-5d32-98d5-9eb4373a3a18,36 months,2026-01-19 23:11:15,110017,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Multipeptide Hair Density Serum Mini,The Ordinary,1350.0,1350.0,1 pc (30 ml),50 min,In Stock,4,0059ff6a-7eb0-477a-a7f5-69256f2c444b,13a9f28e-a7d4-53bb-a579-8ec55ee3061f,36 months,2026-01-19 23:11:15,110017,Tea Coffee
Homegrown Brands,Tea Coffee,The Ordinary Glycolic Acid 7% Toning Solution,The Ordinary,1275.0,1275.0,1 pc (240 ml),50 min,In Stock,5,0059ff6a-7eb0-477a-a7f5-69256f2c444b,93c19163-89a0-58f0-acf1-1c49a945667d,36 months,2026-01-19 23:11:15,110017,Tea Coffee
