Pincode,Status,Categories_Scraped,Products_Found,Start_Time,End_Time,Duration_Seconds,Error_Message
110001,Success,55,2519,2026-01-19T14:39:01.762986,2026-01-19T14:40:07.516324,65.753338,
110017,Success,55,2519,2026-01-19T14:39:07.025280,2026-01-19T14:40:12.698981,65.673701,
110020,Success,55,2519,2026-01-19T14:39:13.334213,2026-01-19T14:40:20.216701,66.882488,
110044,Success,55,2519,2026-01-19T14:39:15.669747,2026-01-19T14:40:25.879535,70.209788,
110052,Success,55,2519,2026-01-19T14:40:21.000686,2026-01-19T14:42:07.608234,106.607548,
110048,Success,55,2519,2026-01-19T14:40:15.896627,2026-01-19T14:42:12.483267,116.58664,
110067,Success,55,2519,2026-01-19T14:40:28.210919,2026-01-19T14:42:12.810328,104.599409,
110070,Success,55,2519,2026-01-19T14:40:31.499551,2026-01-19T14:42:13.694558,102.195007,
110091,Success,55,2519,2026-01-19T14:42:21.623040,2026-01-19T14:43:11.162762,49.539722,
110075,Success,55,2519,2026-01-19T14:42:13.355481,2026-01-19T14:43:11.210711,57.85523,
110085,Success,55,2519,2026-01-19T14:42:21.612776,2026-01-19T14:43:13.720687,52.107911,
110092,Success,55,2519,2026-01-19T14:42:23.040747,2026-01-19T14:43:17.880378,54.839631,
121002,Success,55,2519,2026-01-19T14:43:19.188254,2026-01-19T14:44:15.487117,56.298863,
122001,Success,55,2519,2026-01-19T14:43:19.771419,2026-01-19T14:44:16.340710,56.569291,
121001,Success,55,2519,2026-01-19T14:43:16.272083,2026-01-19T14:44:16.932949,60.660866,
122002,Success,55,2519,2026-01-19T14:43:25.320648,2026-01-19T14:44:24.742163,59.421515,
122018,Success,55,2519,2026-01-19T14:44:24.035516,2026-01-19T14:45:18.465937,54.430421,
201301,Success,55,2519,2026-01-19T14:44:24.985532,2026-01-19T14:45:20.654405,55.668873,
201304,Success,55,2519,2026-01-19T14:44:26.085552,2026-01-19T14:45:31.404012,65.31846,
201307,Success,55,2519,2026-01-19T14:44:33.418197,2026-01-19T14:45:32.355037,58.93684,
400013,Success,55,2519,2026-01-19T14:45:26.739018,2026-01-19T14:46:19.150746,52.411728,
400001,Success,55,2519,2026-01-19T14:45:24.582024,2026-01-19T14:46:19.899928,55.317904,
400021,Success,55,2519,2026-01-19T14:45:39.229406,2026-01-19T14:46:33.837318,54.607912,
400026,Success,55,2519,2026-01-19T14:45:39.828127,2026-01-19T14:46:43.228951,63.400824,
400050,Success,55,2519,2026-01-19T14:46:25.151719,2026-01-19T14:47:22.347148,57.195429,
400053,Success,55,2519,2026-01-19T14:46:28.699181,2026-01-19T14:47:23.329687,54.630506,
400058,Success,55,2519,2026-01-19T14:46:40.715842,2026-01-19T14:47:39.196231,58.480389,
400064,Success,55,2519,2026-01-19T14:46:52.836403,2026-01-19T14:47:46.120593,53.28419,
400076,Success,55,2519,2026-01-19T14:47:30.328713,2026-01-19T14:48:24.843885,54.515172,
400071,Success,55,2519,2026-01-19T14:47:29.455858,2026-01-19T14:48:33.294755,63.838897,
400092,Success,55,2519,2026-01-19T14:47:46.854141,2026-01-19T14:48:45.117821,58.26368,
400097,Success,55,2519,2026-01-19T14:47:53.717661,2026-01-19T14:48:55.345429,61.627768,
400101,Success,55,2519,2026-01-19T14:48:32.316057,2026-01-19T14:49:29.155948,56.839891,
400104,Success,55,2519,2026-01-19T14:48:41.380118,2026-01-19T14:49:40.558865,59.178747,
400601,Success,55,2519,2026-01-19T14:48:54.482533,2026-01-19T14:49:55.196407,60.713874,
400610,Success,55,2519,2026-01-19T14:49:02.550757,2026-01-19T14:49:57.304842,54.754085,
400703,Success,55,2519,2026-01-19T14:49:36.631903,2026-01-19T14:50:37.113506,60.481603,
400705,Success,55,2519,2026-01-19T14:49:47.971483,2026-01-19T14:50:47.494385,59.522902,
400706,Success,55,2519,2026-01-19T14:50:00.346582,2026-01-19T14:51:03.416125,63.069543,
421201,Success,55,2519,2026-01-19T14:50:06.809366,2026-01-19T14:51:08.316793,61.507427,
