Pincode,Status,Categories_Scraped,Products_Found,Start_Time,End_Time,Duration_Seconds,Error_Message
110020,Success,55,81,2026-01-19T15:30:54.054600,2026-01-19T15:32:24.327577,90.272977,
110017,Success,55,90,2026-01-19T15:30:51.604367,2026-01-19T15:32:26.605494,95.001127,
110001,Success,55,81,2026-01-19T15:30:47.748560,2026-01-19T15:32:27.314345,99.565785,
110044,Success,55,63,2026-01-19T15:30:59.515762,2026-01-19T15:32:27.960647,88.444885,
110048,Success,0,0,2026-01-19T15:32:33.134399,2026-01-19T15:32:45.254350,12.119951,
110052,Success,0,0,2026-01-19T15:32:34.994119,2026-01-19T15:32:47.114675,12.120556,
110067,Success,0,0,2026-01-19T15:32:35.817284,2026-01-19T15:32:47.904226,12.086942,
110070,Success,0,0,2026-01-19T15:32:37.002858,2026-01-19T15:32:49.107682,12.104824,
110075,Success,0,0,2026-01-19T15:32:51.658295,2026-01-19T15:33:03.757462,12.099167,
110085,Success,0,0,2026-01-19T15:32:54.803811,2026-01-19T15:33:06.906667,12.102856,
110091,Success,0,0,2026-01-19T15:32:55.987467,2026-01-19T15:33:08.083085,12.095618,
110092,Success,0,0,2026-01-19T15:32:57.829673,2026-01-19T15:33:09.923738,12.094065,
121001,Success,0,0,2026-01-19T15:33:10.467704,2026-01-19T15:33:22.597001,12.129297,
121002,Success,0,0,2026-01-19T15:33:13.060925,2026-01-19T15:33:25.173529,12.112604,
122001,Success,0,0,2026-01-19T15:33:17.561575,2026-01-19T15:33:29.658987,12.097412,
122002,Success,0,0,2026-01-19T15:33:18.092677,2026-01-19T15:33:30.187944,12.095267,
122018,Success,0,0,2026-01-19T15:33:28.927072,2026-01-19T15:33:41.042678,12.115606,
201301,Success,0,0,2026-01-19T15:33:30.965461,2026-01-19T15:33:43.067310,12.101849,
201304,Success,0,0,2026-01-19T15:33:35.342385,2026-01-19T15:33:47.438681,12.096296,
201307,Success,0,0,2026-01-19T15:33:35.959540,2026-01-19T15:33:48.048276,12.088736,
400001,Success,0,0,2026-01-19T15:33:49.722859,2026-01-19T15:34:01.822858,12.099999,
400013,Success,0,0,2026-01-19T15:33:50.129177,2026-01-19T15:34:02.239923,12.110746,
400021,Success,0,0,2026-01-19T15:33:54.548881,2026-01-19T15:34:06.659933,12.111052,
400026,Success,0,0,2026-01-19T15:33:56.489666,2026-01-19T15:34:08.567094,12.077428,
400053,Success,55,81,2026-01-19T15:34:10.992372,2026-01-19T15:35:32.162827,81.170455,
400058,Success,55,63,2026-01-19T15:34:14.357244,2026-01-19T15:35:33.454658,79.097414,
400050,Success,55,108,2026-01-19T15:34:07.826636,2026-01-19T15:35:35.661707,87.835071,
400064,Success,55,90,2026-01-19T15:34:14.549687,2026-01-19T15:35:37.251271,82.701584,
400071,Success,0,0,2026-01-19T15:35:39.046408,2026-01-19T15:35:51.161571,12.115163,
400076,Success,0,0,2026-01-19T15:35:39.310855,2026-01-19T15:35:51.426407,12.115552,
400092,Success,0,0,2026-01-19T15:35:43.565525,2026-01-19T15:35:55.678884,12.113359,
400097,Success,0,0,2026-01-19T15:35:47.047747,2026-01-19T15:35:59.162255,12.114508,
400101,Success,0,0,2026-01-19T15:35:56.811551,2026-01-19T15:36:09.013193,12.201642,
400104,Success,0,0,2026-01-19T15:35:58.351287,2026-01-19T15:36:10.459877,12.10859,
400601,Success,0,0,2026-01-19T15:36:02.270101,2026-01-19T15:36:14.389779,12.119678,
400610,Success,0,0,2026-01-19T15:36:07.798968,2026-01-19T15:36:19.910516,12.111548,
400703,Success,0,0,2026-01-19T15:36:17.397925,2026-01-19T15:36:29.515579,12.117654,
400705,Success,0,0,2026-01-19T15:36:18.541472,2026-01-19T15:36:30.654648,12.113176,
400706,Success,0,0,2026-01-19T15:36:19.722815,2026-01-19T15:36:31.841248,12.118433,
421201,Success,0,0,2026-01-19T15:36:29.668768,2026-01-19T15:36:41.781045,12.112277,
