Category,Subcategory,Item Name,Brand,Mrp,Price,Weight/pack_size,Delivery ETA,availability,inventory,store_id,base_product_id,shelf_life_in_hours,timestamp,pincode_input,clicked_label
Tea Coffee More,Top Picks,Tata Tea Premium Desh Ki Chai Black Tea,Tata,238,238,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/tata-tea-premium-desh-ki-chai-black-tea/pvid/1f9bdcbb-b8ad-472c-9c63-b751283d6c83,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Nescafe Classic - Instant Coffee Powder - 100% Pure Coffee,Nescafe Classic,202,202,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/nescafe-classic-instant-coffee-powder-100-pure-coffee/pvid/817dd990-1675-4e6b-88f9-fdc865cb2801,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Bournvita Chocolate | Cereal Based Drink Mix Jar,Bournvita,119,119,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/bournvita-chocolate-cereal-based-drink-mix-jar/pvid/e81736e2-ed8f-4b0d-b3cf-a995d1164f8e,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Lipton Honey Lemon Green Tea Bags,Lipton,142,142,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/lipton-honey-lemon-green-tea-bags/pvid/0f5d0e1c-71a2-43bc-9b88-ab3585d364cc,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Nescafe Gold Blend Rich and Smooth Arabica and Robusta Instant Coffee,Nescafe,682,682,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/nescafe-gold-blend-rich-and-smooth-arabica-and-robusta-instant-coffee/pvid/bee9353f-3ec3-4fdf-a077-e1b31b10dca4,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,ENSURE Balanced Vanilla Drink Mix,Ensure,635,635,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/ensure-balanced-vanilla-drink-mix/pvid/d20b1c73-58f2-4d63-a91e-fed3afacff97,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Red Label Instant Masala Chai Premix,Red,94,94,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/red-label-instant-masala-chai-premix/pvid/2c2f3f4e-123f-4594-9c65-f926071dcb7f,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Nescafe Cafe Style Iced Latte Cold Coffee,Nescafe,41,41,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/nescafe-cafe-style-iced-latte-cold-coffee/pvid/35c93dee-67b3-4e06-82de-ae4d887d4a9d,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Cadbury Bournvita Hot Chocolate Powder,Cadbury,245,245,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/cadbury-bournvita-hot-chocolate-powder/pvid/51ba7650-26e0-40b3-8721-e0d6c59e36e9,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,3 Roses Dust Tea,3,193,193,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/3-roses-dust-tea/pvid/1c035efd-595d-4a32-a935-4eefc369edb0,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Avocado,Avocado,N/A,N/A,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/avocado-indian-premium-semi-ripe/pvid/10a847f5-b72b-42b8-b1b7-619a26bccf90,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Strawberry,Strawberry,N/A,N/A,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/strawberry-mahabaleshwar/pvid/d0a3ad74-8c00-4b37-bd4c-d87cef26714e,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Pomegranate,Pomegranate/Pvid/085B06Eb,N/A,N/A,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/pomegranate/pvid/085b06eb-cf40-4922-acee-ad29826410f5,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Beetroot,Beetroot/Pvid/02276424,N/A,N/A,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/beetroot/pvid/02276424-5793-4830-aefa-4ba54145e0e3,N/A,2026-01-18 19:18:31,560001,Top Picks
Tea Coffee More,Top Picks,Ash gourd,Ash,N/A,N/A,N/A,50 min,Out of Stock,N/A,b4dc8d65-ed2e-4142-81b6-373982b13500,/pn/ash-gourd/pvid/aa891942-3ce5-437e-bb11-0120ae085874,N/A,2026-01-18 19:18:31,560001,Top Picks
