Pincode,Status,Categories_Scraped,Products_Found,Start_Time,End_Time,Duration_Seconds,Error_Message
110017,Success,55,72,2026-01-19T15:11:44.056584,2026-01-19T15:13:18.428433,94.371849,
110044,Success,55,63,2026-01-19T15:11:53.259335,2026-01-19T15:13:19.766330,86.506995,
110001,Success,55,99,2026-01-19T15:11:41.064519,2026-01-19T15:13:20.735564,99.671045,
110020,Success,55,63,2026-01-19T15:11:46.690190,2026-01-19T15:13:25.467116,98.776926,
110048,Success,0,0,2026-01-19T15:13:25.607993,2026-01-19T15:13:37.977720,12.369727,
110052,Success,0,0,2026-01-19T15:13:27.678322,2026-01-19T15:13:39.808628,12.130306,
110067,Success,0,0,2026-01-19T15:13:27.973528,2026-01-19T15:13:40.086090,12.112562,
110070,Success,0,0,2026-01-19T15:13:32.692702,2026-01-19T15:13:44.802876,12.110174,
110075,Success,0,0,2026-01-19T15:13:43.944777,2026-01-19T15:13:56.052601,12.107824,
110085,Success,0,0,2026-01-19T15:13:46.602012,2026-01-19T15:13:58.733158,12.131146,
110091,Success,0,0,2026-01-19T15:13:47.833038,2026-01-19T15:13:59.968285,12.135247,
110092,Success,0,0,2026-01-19T15:13:50.602125,2026-01-19T15:14:02.733592,12.131467,
121001,Success,0,0,2026-01-19T15:14:05.682417,2026-01-19T15:14:17.812740,12.130323,
121002,Success,0,0,2026-01-19T15:14:05.820853,2026-01-19T15:14:17.922239,12.101386,
122001,Success,0,0,2026-01-19T15:14:08.709932,2026-01-19T15:14:20.828975,12.119043,
122002,Success,0,0,2026-01-19T15:14:09.602154,2026-01-19T15:14:21.716071,12.113917,
122018,Success,0,0,2026-01-19T15:14:23.115529,2026-01-19T15:14:35.252554,12.137025,
201301,Success,0,0,2026-01-19T15:14:24.365621,2026-01-19T15:14:36.500151,12.13453,
201304,Success,0,0,2026-01-19T15:14:27.402303,2026-01-19T15:14:39.516568,12.114265,
201307,Success,0,0,2026-01-19T15:14:27.457385,2026-01-19T15:14:39.566419,12.109034,
400001,Success,0,0,2026-01-19T15:14:43.652410,2026-01-19T15:14:55.754857,12.102447,
400013,Success,55,72,2026-01-19T15:14:44.583429,2026-01-19T15:16:06.326074,81.742645,
400050,Success,55,45,2026-01-19T15:15:03.323367,2026-01-19T15:16:07.395156,64.071789,
400021,Success,55,90,2026-01-19T15:14:48.217178,2026-01-19T15:16:10.374654,82.157476,
400026,Success,55,81,2026-01-19T15:14:49.426549,2026-01-19T15:16:12.853291,83.426742,
400053,Success,0,0,2026-01-19T15:16:14.600104,2026-01-19T15:16:26.698435,12.098331,
400058,Success,0,0,2026-01-19T15:16:15.383020,2026-01-19T15:16:27.478168,12.095148,
400064,Success,0,0,2026-01-19T15:16:18.713023,2026-01-19T15:16:30.800083,12.08706,
400071,Success,0,0,2026-01-19T15:16:22.216924,2026-01-19T15:16:34.319071,12.102147,
400076,Success,0,0,2026-01-19T15:16:32.632782,2026-01-19T15:16:44.734408,12.101626,
400092,Success,0,0,2026-01-19T15:16:34.081307,2026-01-19T15:16:46.169155,12.087848,
400097,Success,0,0,2026-01-19T15:16:35.938170,2026-01-19T15:16:48.047896,12.109726,
400101,Success,0,0,2026-01-19T15:16:39.734680,2026-01-19T15:16:51.850421,12.115741,
400104,Success,0,0,2026-01-19T15:16:50.547760,2026-01-19T15:17:02.657459,12.109699,
400601,Success,0,0,2026-01-19T15:16:55.082265,2026-01-19T15:17:07.166633,12.084368,
400610,Success,0,0,2026-01-19T15:16:56.997920,2026-01-19T15:17:09.118151,12.120231,
400703,Success,0,0,2026-01-19T15:17:00.233395,2026-01-19T15:17:12.321782,12.088387,
400705,Success,0,0,2026-01-19T15:17:11.710047,2026-01-19T15:17:23.833152,12.123105,
400706,Success,0,0,2026-01-19T15:17:14.667545,2026-01-19T15:17:26.748856,12.081311,
421201,Success,0,0,2026-01-19T15:17:16.565929,2026-01-19T15:17:28.683295,12.117366,
