Category,Subcategory,Item Name,Brand,Mrp,Price,Weight/pack_size,Delivery ETA,availability,inventory,store_id,base_product_id,shelf_life_in_hours,timestamp,pincode_input,clicked_label
Cleaning Essentials,Cleaning Essentials,Phab Cookies & Cream Millet Wafer Bar I 10g Protein Wafer,Phab,60.0,51.0,1 pc (40 g),9 min,In Stock,6,da285a58-89f2-448e-b5d7-dddce15e9bba,c90fbe6e-4d34-5b72-af6f-c1f04fc23294,12 months,2026-01-20 14:32:45,110017,New Delhi
Cleaning Essentials,Cleaning Essentials,Phab Strawberry Cake Millet Wafer Bar I 10g Protein Wafer,Phab,60.0,51.0,1 pc (40 g),9 min,In Stock,6,da285a58-89f2-448e-b5d7-dddce15e9bba,196b98fa-268e-585f-b2af-ed6cb6a669cb,12 months,2026-01-20 14:32:45,110017,New Delhi
Cleaning Essentials,Cleaning Essentials,Phab 11g Protein Bar - Chocolate Brownie,Phab,70.0,58.0,1 pc (35 g),9 min,In Stock,6,da285a58-89f2-448e-b5d7-dddce15e9bba,0c28dc46-88d8-4d28-86c9-2940aa70c06e,9 months,2026-01-20 14:32:45,110017,New Delhi
Cleaning Essentials,Cleaning Essentials,Phab Mocha Latte Millet Wafer Bar I 10g Protein Wafer,Phab,60.0,51.0,1 pc (40 g),9 min,In Stock,5,da285a58-89f2-448e-b5d7-dddce15e9bba,2b1176ca-4a51-511f-90ef-52802c602910,12 months,2026-01-20 14:32:45,110017,New Delhi
Cleaning Essentials,Cleaning Essentials,Phab 21g Protein Bar - Chocolate Brownie,Phab,125.0,97.0,1 pc (65 g),9 min,In Stock,3,da285a58-89f2-448e-b5d7-dddce15e9bba,42f209ee-d4e6-4d43-aeef-931135575281,9 months,2026-01-20 14:32:45,110017,New Delhi
Cleaning Essentials,Cleaning Essentials,Phab Double Chocolate 10g Protein Milkshake,Phab,85.0,77.0,1 pc (200 ml),9 min,In Stock,1,da285a58-89f2-448e-b5d7-dddce15e9bba,75898438-c60e-4723-954b-7a3bccb99c7c,12 months,2026-01-20 14:32:45,110017,New Delhi
Bath Body,Bath Body,Phab Cookies & Cream Millet Wafer Bar I 10g Protein Wafer,Phab,60.0,51.0,1 pc (40 g),9 min,In Stock,6,da285a58-89f2-448e-b5d7-dddce15e9bba,c90fbe6e-4d34-5b72-af6f-c1f04fc23294,12 months,2026-01-20 14:32:54,110017,New Delhi
Bath Body,Bath Body,Phab Strawberry Cake Millet Wafer Bar I 10g Protein Wafer,Phab,60.0,51.0,1 pc (40 g),9 min,In Stock,6,da285a58-89f2-448e-b5d7-dddce15e9bba,196b98fa-268e-585f-b2af-ed6cb6a669cb,12 months,2026-01-20 14:32:54,110017,New Delhi
Bath Body,Bath Body,Phab 11g Protein Bar - Chocolate Brownie,Phab,70.0,58.0,1 pc (35 g),9 min,In Stock,6,da285a58-89f2-448e-b5d7-dddce15e9bba,0c28dc46-88d8-4d28-86c9-2940aa70c06e,9 months,2026-01-20 14:32:54,110017,New Delhi
Bath Body,Bath Body,Phab Mocha Latte Millet Wafer Bar I 10g Protein Wafer,Phab,60.0,51.0,1 pc (40 g),9 min,In Stock,5,da285a58-89f2-448e-b5d7-dddce15e9bba,2b1176ca-4a51-511f-90ef-52802c602910,12 months,2026-01-20 14:32:54,110017,New Delhi
