input_pincode,url,platform,name,price,mrp,availability,seller_details,manufacturer_details,marketer_details,variant_count,variant_in_stock_count,inventory,scraped_at,error
560001,https://blinkit.com/prn/amul-buffalo-a2-milk/prid/547185,blinkit,Amul Buffalo A2 Milk,88.0,88.0,Out of Stock,,,,1,0,0,2026-01-18 13:45:54,
560001,https://blinkit.com/prn/amul-taaza-toned-milk/prid/19512,blinkit,Amul Taaza Toned Milk,28.0,28.0,Out of Stock,,,,1,0,0,2026-01-18 13:45:57,
